iter	Logloss	Accuracy	Recall
190	0.2417692109	0.9192122976	0.8395493742
191	0.2417069678	0.9191944439	0.839513667
192	0.2416509342	0.9191587367	0.8394779597
193	0.2415626566	0.9191765903	0.839513667
194	0.2414673005	0.9191855171	0.8395315206
195	0.2412665493	0.9192480049	0.8396386424
196	0.2409238737	0.9193283462	0.8397993251
197	0.2408026071	0.9193461999	0.839852886
198	0.2407191351	0.9193015658	0.8397814715
199	0.2406009077	0.9192837121	0.8397636179
200	0.2403270442	0.9193194194	0.8397636179
201	0.2400552014	0.919435468	0.8399957151
202	0.2399987004	0.9193819071	0.8399064469
203	0.2394470441	0.9195604435	0.8402099588
204	0.2393018841	0.9196407848	0.8403706415
205	0.2392333101	0.9196050776	0.8402813733
206	0.2388611857	0.9196140044	0.8402992269
207	0.2385881395	0.9197479067	0.8405670315
208	0.2383116506	0.9198639553	0.8407812751
209	0.2378321471	0.9199800039	0.8409955187
210	0.2376009546	0.9200067844	0.8410490796
211	0.2373649837	0.9201496135	0.8412990305
212	0.2369255515	0.9203549303	0.8417096642
213	0.2367853716	0.9203460035	0.8417096642
214	0.2367290469	0.9203460035	0.8417096642
215	0.2366288464	0.9203549303	0.8417453714
216	0.236314702	0.9204263448	0.8418703469
217	0.2362405811	0.9204263448	0.8418703469
218	0.2359017848	0.9204352716	0.8418524933
219	0.235813317	0.9204709789	0.8419417614
220	0.2357616049	0.9204531253	0.8418703469
221	0.235615354	0.9205245398	0.8419774687
222	0.2355730327	0.9204977594	0.8419060542
223	0.2354664872	0.9205245398	0.8419596151
224	0.235365414	0.9205513203	0.842013176
225	0.235181496	0.9205781007	0.8420845905
226	0.2347803885	0.9205781007	0.8421024442
227	0.2347145211	0.9205870275	0.8421381514
228	0.2342373931	0.9207834175	0.8424952242
229	0.2338360477	0.9208994662	0.8427630287
230	0.2336328605	0.9209441003	0.842798736
231	0.2334200822	0.9209619539	0.8428344432
232	0.2329760795	0.9211583439	0.8432093696
233	0.2325213266	0.9213190266	0.8435485887
234	0.2324654394	0.9213190266	0.8435485887
235	0.23223369	0.9213279534	0.8435664423
236	0.2319546333	0.9213725875	0.8436378568
237	0.231920278	0.9213725875	0.8436378568
238	0.2318027187	0.921399368	0.8436914178
239	0.2316463098	0.9214261484	0.8437628323
240	0.2313063795	0.9214350753	0.8437806859
241	0.2311355847	0.9214529289	0.8438163932
242	0.2307171236	0.9215332703	0.843923515
243	0.2304130854	0.9215421971	0.843923515
244	0.230371436	0.9215064898	0.8439056614
245	0.2300479644	0.9215421971	0.8439770759
246	0.2297945771	0.9215064898	0.8439056614
247	0.229582718	0.9215868312	0.8440663441
248	0.2291029814	0.9218635625	0.8446019532
249	0.2289659389	0.9219081966	0.8446912214
250	0.2286719436	0.9220420989	0.8449411723
251	0.2280590735	0.9222741961	0.8454232204
252	0.2273352064	0.9224705861	0.8457624395
253	0.2267583537	0.9225598543	0.8459409759
254	0.2264665901	0.9226134152	0.8460302441
255	0.2264258616	0.922577708	0.8459409759
256	0.2259813481	0.9225955616	0.8459766832
257	0.2255801219	0.9226134152	0.8459945368
258	0.2251316674	0.922622342	0.8460123904
259	0.2250795494	0.9225955616	0.8459588295
260	0.2247903596	0.9226848298	0.8461016586
261	0.2247411769	0.9226759029	0.8460659513
262	0.2245893182	0.9227562443	0.8461909268
263	0.2244469919	0.9228633661	0.8463873168
264	0.2242737276	0.9228544393	0.8463694631
265	0.2240376438	0.9229615611	0.8465837068
266	0.2239922277	0.9229258539	0.8465301459
267	0.2238539831	0.9229258539	0.8465301459
268	0.2238047809	0.922916927	0.8464944386
269	0.2237266732	0.9229347807	0.8465301459
270	0.2235785665	0.9230329757	0.8467265359
271	0.2234456995	0.9230865366	0.8468336577
272	0.2232940613	0.9230686829	0.846815804
273	0.2230932762	0.9231579511	0.8469764868
274	0.2227879599	0.9232204388	0.8471014622
275	0.2227380808	0.9232293657	0.8471193158
276	0.2225475072	0.923211512	0.8471014622
277	0.2224149195	0.9232025852	0.8470836086
278	0.2222825301	0.9232918534	0.8472442913
279	0.2222306393	0.9233007802	0.8472621449
280	0.2221360452	0.9233721947	0.8473871204
281	0.2219935515	0.9233811216	0.847404974
282	0.2219457847	0.9233721947	0.8473871204
283	0.2219134591	0.9233364875	0.8473335595
284	0.2218820181	0.9233186338	0.8472978522
285	0.2217655824	0.9233900484	0.8474228277
286	0.2217318326	0.9233543411	0.8473692668
287	0.2216106189	0.923407902	0.8474585349
288	0.2215693114	0.9234168288	0.8474585349
289	0.2215194287	0.9234525361	0.8475120958
290	0.2213828315	0.9234614629	0.8475120958
291	0.2212467856	0.9234436093	0.8474942422
292	0.2210712657	0.9234971702	0.8475835104
293	0.2210308194	0.9234882434	0.8475835104
294	0.2209882045	0.9234971702	0.847601364
295	0.2209483368	0.9235150238	0.8476192177
296	0.2208632596	0.9235239507	0.8476549249
297	0.220683128	0.9235239507	0.8476370713
298	0.2206317697	0.923506097	0.847601364
299	0.2204896959	0.923604292	0.847797754
300	0.2203473614	0.9236489261	0.8478691686
301	0.2203175166	0.9236578529	0.8478870222
302	0.2201046454	0.9238096088	0.848190534
303	0.2200633003	0.9238096088	0.848190534
304	0.219848228	0.9238542429	0.8482798022
305	0.2198170713	0.9238631697	0.8482976558
306	0.2197825664	0.9239167306	0.848386924
307	0.219700069	0.9239345843	0.8484226313
308	0.2196382689	0.9239524379	0.8484761922
309	0.2194615454	0.9239524379	0.8484940458
310	0.2192787229	0.9239524379	0.8484940458
311	0.2192377257	0.9239881452	0.8485654604
312	0.21919786	0.9239881452	0.8485654604
313	0.2191248318	0.9240238525	0.8486368749
314	0.2187814557	0.9240774134	0.8487439967
315	0.2187403925	0.9240506329	0.8487261431
316	0.2187033804	0.9240684865	0.8487261431
317	0.2186211943	0.924095267	0.8487975576
318	0.2185855862	0.924095267	0.8487975576
319	0.2184364954	0.9241131206	0.8488332649
320	0.2184016215	0.9241131206	0.8488332649
321	0.2183686886	0.9241309743	0.8488689722
322	0.2183400949	0.9241220475	0.8488511185
323	0.2181227447	0.9241577547	0.8489225331
324	0.2180099275	0.9241845352	0.848976094
325	0.2179576133	0.9242113156	0.8490296549
326	0.2179110583	0.9242113156	0.8490475085
327	0.2178765412	0.9242023888	0.8490475085
328	0.2178497458	0.924193462	0.8490296549
329	0.2178142389	0.9242113156	0.8490475085
330	0.217738122	0.9242113156	0.8490653622
331	0.2175813842	0.9242559497	0.8491367767
332	0.2174120696	0.9242648765	0.8491546303
333	0.2173741322	0.9242648765	0.8491546303
334	0.2173307754	0.9242559497	0.8491189231
335	0.2173056774	0.9242559497	0.8491189231
336	0.2172683413	0.924291657	0.8491903376
337	0.2172347647	0.9243184374	0.8492617522
338	0.2171190897	0.9243630715	0.8493331667
339	0.217075413	0.9243809252	0.8493867276
340	0.2169838893	0.9244077056	0.8494224349
341	0.2169420725	0.924389852	0.8494224349
342	0.2169086804	0.9243719984	0.849368874
343	0.2168708261	0.9243719984	0.849368874
344	0.2168236518	0.9243809252	0.8493867276
345	0.2167334036	0.924389852	0.8494045812
346	0.2166872699	0.9243987788	0.8494224349
347	0.2165926163	0.9244344861	0.8494938494
348	0.2165034242	0.9244255593	0.8494759958
349	0.2164656028	0.9244255593	0.8494759958
350	0.2164204993	0.9244344861	0.8494938494
351	0.216395707	0.9244166324	0.8494581422
352	0.2162987494	0.9244255593	0.8494759958
353	0.2162572426	0.9244612665	0.8495474103
354	0.2162287952	0.9244612665	0.8495474103
355	0.2162030707	0.9244612665	0.8495474103
356	0.2161492152	0.9244434129	0.8495295567
357	0.2160907823	0.9244434129	0.8495295567
358	0.2160650077	0.9244344861	0.8495117031
359	0.216038066	0.9244344861	0.8495117031
360	0.2160146934	0.9244612665	0.8495474103
361	0.2159850606	0.9244344861	0.8495295567
362	0.2158745535	0.9244344861	0.8495117031
363	0.2158360053	0.9244255593	0.8494938494
364	0.2157693954	0.9244523397	0.8495295567
365	0.2157328244	0.9244701934	0.849565264
366	0.2156968967	0.9244791202	0.849565264
367	0.215664452	0.9244701934	0.849565264
368	0.2156238473	0.9244969738	0.8496009712
369	0.2154914054	0.9245594615	0.8497259467
370	0.2154553079	0.9245773152	0.849761654
371	0.2154280821	0.9245594615	0.8497438003
372	0.2153903529	0.924586242	0.8498152149
373	0.2152930339	0.9245683884	0.8497973612
374	0.2152500623	0.9245683884	0.8497973612
375	0.2151898015	0.924586242	0.8498509221
376	0.2151649975	0.9245951688	0.8498509221
377	0.2151270205	0.9245773152	0.8498330685
378	0.2150992456	0.9245773152	0.8498330685
379	0.2150520424	0.924586242	0.8498509221
380	0.2150313733	0.9246040956	0.8498687758
381	0.2150033105	0.9246040956	0.8498866294
382	0.2149647759	0.9246040956	0.8498687758
383	0.2148397164	0.9247022906	0.8500473121
384	0.2146539022	0.9247737052	0.8501901412
385	0.2146192107	0.924782632	0.8502079949
386	0.2145900756	0.9248004856	0.8502437021
387	0.2145585193	0.9248094124	0.8502437021
388	0.2145329769	0.9248094124	0.8502437021
389	0.2144879842	0.9248094124	0.8502437021
390	0.2144504719	0.9248183393	0.8502437021
391	0.2143934912	0.9248361929	0.8502615558
392	0.2143009192	0.9248361929	0.8502615558
393	0.2142701392	0.9248361929	0.8502615558
394	0.2142420805	0.9248361929	0.8502258485
395	0.2142019505	0.9248094124	0.8502258485
396	0.2141765535	0.9248361929	0.8503151167
397	0.2140469003	0.9248183393	0.8503151167
398	0.2140157372	0.9248540465	0.8503508239
399	0.2139791253	0.9248540465	0.8503508239
400	0.213938452	0.9248451197	0.8503329703
401	0.2139106422	0.9248629733	0.8503686776
